Linha Número,Título,Situação,Detalhe
1,Linha 1-Azul,Operação Normal,Operação Normal
2,Linha 2-Verde,Operação Normal,Operação Normal
3,Linha 3-Vermelha,Operação Normal,Operação Normal
4,Linha 4-Amarela,Operação Normal,"Devido às obras de modernização na estação Palmeiras-Barra Funda, passageiros com destino à estação Júlio Prestes devem embarcar no trem da plataforma 4."
5,Linha 5-Lilás,Operação Normal,"Devido às obras de modernização na estação Palmeiras-Barra Funda, passageiros com destino à estação Júlio Prestes devem embarcar no trem da plataforma 4."
7,Linha 7-Rubi,Operação Normal,"Devido às obras de modernização na estação Palmeiras-Barra Funda, passageiros com destino à estação Júlio Prestes devem embarcar no trem da plataforma 4."
8,Linha 8-Diamante,Circulação de Trens,"Devido às obras de modernização na estação Palmeiras-Barra Funda, passageiros com destino à estação Júlio Prestes devem embarcar no trem da plataforma 4."
9,Linha 9-Esmeralda,Operação Normal,Operação Normal
10,Linha 10-Turquesa,Operação Normal,Operação Normal
11,Linha 11-Coral,Operação Normal,Operação Normal
12,Linha 12-Safira,Operação Normal,Operação Normal
13,Linha 13-Jade,Operação Normal,Operação Normal
15,Linha 15-Prata,Operação Normal,Operação Normal
